,name,price,cluster_group
246,Lenovo X1 Yoga 3rd Gen (20LF),11777,0.0
247,HP EliteBook 845 G7,12517,0.0
248,ASUS ROG Strix G17,13764,0.0
249,"GIGABYTE AERO 15.6"" - OLED UHD with RTX 3060",13999,0.0
250,HP EliteBook 835 G7,14374,0.0
251,Lenovo ThinkPad P15s Gen 2,15380,0.0
252,ASUS ZenBook Duo 14 UX482EG-PURE13 - Intel Core i7 & Geforce,16299,0.0
253,Lenovo ThinkPad X1 Carbon Gen 9,16974,1.0
254,HP Elite Dragonfly G2,17990,1.0
255,ASUS ROG Zephyrus GX551QM-HF004T,18299,1.0
256,Razer Blade 15 Base - FHD 144Hz with RTX 2070,18999,1.0
257,Lenovo ThinkPad X1 Carbon Gen 8,20551,1.0
258,MSI Creator 15 A10UH-096NE,28770,1.0
259,Lenovo ThinkPad P15 Gen 1,33394,2.0
260,Dell Latitude 3301,4879,0.0
261,ASUS Chromebook Flip C434TA-E10001,5132,0.0
262,Dell Vostro 5501,6549,0.0
263,ASUS VivoBook S15 S533EA-BN151T,8045,0.0
264,HP ProBook 450 G7 i5 8GB 256GB,8155,0.0
265,Acer Chromebook Spin 13 CP713-2W-54WA,8427,0.0
266,Lenovo ThinkPad L15 Gen 1,8695,0.0
267,Dell Latitude 7410,8941,0.0
268,"Microsoft Surface laptop 4 13.5""",9843,0.0
269,ASUS ZenBook 14 UX425JA-PURE4,9999,0.0
270,Dell Latitude 5410,11017,0.0
271,Dell XPS 15 7590 - Intel Hexa Core i7 & 4K OLED,12999,0.0
272,Lenovo ThinkPad P14s Gen 2,14973,0.0
273,HP EliteBook 850 G8,15613,0.0
274,Razer Blade 15 Base - QHD 165 Hz with RTX 3070,18995,1.0
275,MSI GS66 10UG 288NE Stealth,19540,1.0
276,Razer Blade 15 Advanced - FHD 360 Hz with RTX 3070,21995,1.0
277,HP EliteBook x360 1030 G8,22999,1.0
278,ASUS ROG GV301QEZ-K5099T - RTX3050 Ti & Ryzen 9 5980HS,25499,1.0
